name,registration_number,address,registration_date,renewed_on,valid_upto,district,country,remarks,source_name
Alor Pathe Nobojatray Foundation,3027,"74/B/1, RH Home Center, Suite-641, Level-7, Green Road, Farmgate, Dhaka Phone: 01534508932 www.aponfoundation.org",2016-06-09,2021-06-09,2031-06-08,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alor Poth Kollan Sangstha,3422,"455/C, Khilgaon, Dhaka Phone: 01671836838 email: elorpoth2014@gmail.com",2024-09-04,,2034-09-03,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alor Pothey,1124,"Vill: Madhupur, P.O: Dharoni Bari, P.S: Ulipur, Dist: Kurigram",1997-01-26,2017-01-26,2027-01-26,Kurigram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Aloran,2205,"Vill.: West Gomdhandi Prathomic Shikkhak Bhaban, Buripukurpar, Post+Upazilla: Boalkhali, Dist.: Chattogram. Phone: 01711-487884",2007-03-08,2012-03-08,2017-03-08,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alore Disha Foundation,3172,"College Para, Upazila : Kalia, Dist: Narail Mob: 0172659247",2018-11-14,,2028-11-14,Narail,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Aloshika Social Development Organization,3012,"Vill: Auliapur, PO: Maydan Madrasha, Upazila: Patuakhali Sadar, Dist: Patuakhali. Phone: 01924699282",2016-02-29,2021-03-01,2031-02-28,Patuakhali,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Aloshikha Rajihar Social Development Centre,0324,"Vill. & P.O. Rajihar, Agailjhara, Barisal",1989-11-01,2019-01-11,2029-01-11,Barisal,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Aloshikha Womens Welfare Association,2849,"House-09(4th Floor), Road-02, North Adabor, Baitul Aman Housing Society, Adabor, Dhaka Phone: 01819-251911",2014-02-20,,2019-02-20,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alternative Approach,1895,"Flat-4/A, House-1255, Avenue-2, Road-10, Mirpur DOHS, Dhaka Phone: 01915794195",2003-12-23,2023-12-23,2033-12-22,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alternative Development Initiative,0902,"11/1, Iqbal Road, Block-A (Ground Floor), Mohammdpur, Dhaka Phone : 9126810",1995-02-18,2005-02-18,2010-02-18,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Alternative Development Society (ADS),2321,"Vill.: Arajigopinatpur, Post: Gowrigram, Upazilla: Sathia, Dist.: Pabna.",2008-03-23,2013-03-23,2018-03-23,Pabna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Amader Somoyer Pratidhani Foundation,3430,"House-996, Road-9A, Avenue-11, DOHS, Mirpur, Dhaka. Phone: 02-44801223 www.asp.foundation",2025-02-04,,2035-02-03,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Amal Foundation,3294,"108/8 Mohammadi Housing Ltd.Mohammadpur, Dhaka Phone: 01748585166 www.amla.-bd.org",2022-06-10,,2032-06-09,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
AMAN (Association for Mass Advancement Network),0980,"2/2, Lalmatia, Block-A, Mirpur Road, Dhaka. Phone: 01711-486534, Fax: 8356249 www.amanbd.org",1995-10-19,2020-10-19,2030-10-19,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Amar Hasna Meherun Ness Jano Kallayan Sangstha,2756,"House-05, Road-15, Sector-14, Uttara, Dhaka.",2012-12-26,,2017-12-26,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ambala Foundation,0952,"House-67, Block-Ka, Piciculture Housing Society, Shyamoli, Dhaka. Phone: 9120040, 9110740",1995-06-28,2020-06-28,2030-06-28,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
AMCB Foundation Bangladesh,3091,"Plot-3/1, Block-F, Lalmatia, Dhaka. Phone: 01819243401",2017-10-24,,2027-10-24,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Amity Manab Unnayan Sangstha,2932,"Anwar Tower, Ragunathpur Bazar, Kachua, Dist: Chandpur. Phone: 01717-005315",2015-05-21,2020-05-21,2030-05-21,Chandpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Amra Desher Shokti,2815,"Gorostan Road, Biswas Para, Dist: Joypurhat",2013-09-17,2018-09-17,2028-09-17,Joypurhat,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Amra Kaj Kory (AKK),0715,"Alhaj Ali Alal Cheste Mohal, Jhiltuly, Faridpur Phone: 0631-63944",1993-06-06,2018-06-06,2028-06-06,Faridpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Amra Porupokari Paribar (APP),3070,"House-22(3rd Floor), Sector-07, Thana-Uttara West, Dhaka-1230 Phone: 01887233040 email: sskus3070@gmail.com",2017-01-03,2022-01-03,2032-01-02,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
AMRAH,0379,"Vill. Barkal, P.O. Islamabad, Chandanaish, Chattogram Phone: 031-650511",1990-05-06,2020-05-06,2030-05-05,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Amrai Pari Foundation,3355,"House-Gha-27/2 Kha, Shahjadpur, Gulshan, Dhaka Phone: 01712510790",2023-04-10,,2033-04-09,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Amrai Pari Paribarik Nirzaton Pratirodh Jote,2871,"House-6/4A (3rd Floor), Sir Sayed Road, Mohammadpur, Dhaka Phone: 9130265",2014-07-23,2019-07-23,2029-07-23,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
AMWAB (Association of Muslim Welfare Agencies in Bangladesh),0687,"Room-01 (2nd Floor), Bangladesh Mosjed complex, New Elephant Road, Katabon, Dhaka-1000 Phone: 8650634, Fax: 8650634",1993-03-06,2013-03-06,2018-03-06,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
An Organization for Socio Economic Development (AOSED),2235,"334, Sher-A-Bangla Road (1st Floor), Khulna-9100 Phone: 041-813574, 041-731931 www.aosed.org",2007-05-27,2017-05-27,2027-05-27,Khulna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Anabia Charitable Organization,3143,"Katabaria, Baonara, Rajbari, Cel: 01717900304",2018-04-01,,2028-04-01,Rajbari,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Anandalok Trust for Education and Development,3297,"House-3/1, Block-D, Lalmatia, Dhaka Phone: 01318485440 email: anandaloktrust@gmail.com",2022-06-13,,2032-06-12,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Anando,1180,"134/3A, Babar Road, Block-A, Mohammadpur, Dhaka. Phone: 8119760 www.anando-bd.org",1997-08-18,2017-08-18,2027-08-18,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Anannya Jubo Mohila Samiti (AJMS),1743,"27, Nutunbazar, Approach Road, Khulna-9100 Phone : 041-721934",2002-10-05,2007-10-05,2012-10-05,Khulna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Anannya Samaj Kallyan Sangstha,0955,"House-470 (1st Floor), Road-08, DOHS, Baridhara, Dhaka-1206 Phone: 8956854",1995-07-09,2015-07-09,2020-07-09,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ananya Kallyan Sangathon,3402,"KS Prue Market Building, Bandarban Bazar Road, Bandarban Phone: 01556497198 mail: ananyabandarban@gmail.com",2024-04-22,,2034-04-21,Chattogram,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Andho Kollyan Samity-Patuakhali,2722,"Koler Pukur Par, Patuakhali Phone: 01716-238990",2012-08-01,,2017-08-01,Patuakhali,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
JACE (Japan Asia Cultural Exchanges),1921,"22, Tatipara, Sylhet-3100 Phone: 0821-711422",2004-03-01,2009-03-01,2014-03-01,Sylhet,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Angikar Manob Kalyan Kendra,1795,"Goorgola, PS: Kotwali, Dinajpur-5200 Phone : 0531-65950, Fax: 9136297",2003-01-02,2013-02-10,2018-02-10,Dinajpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Animation Liberate for Organize (ALO),1711,"House-1/F (9th Floor), North-East Darussalam Road, Mirpur-1, Dhaka-1216 Phone : +8801713167936",2002-04-01,2017-04-01,2027-04-01,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Anirban Samaj Unnayan Sangstha (ASUS),2334,"Nahar Mansion, Gorosthan Road, Patuaakhali. Phone: 0441-62066",2008-04-17,2018-04-17,2028-04-17,Patuakhali,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ankur ICT Development Foundation,2466,"House No.-65, Road-06, Sector-04, Uttara, Dhaka. Www.ankur.org.bd",2009-07-06,,2014-07-06,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Annesha Foundation (AF),0549,"31/2, Senpara Parbatta, Mirpur-10, Dhaka. Phone: 8061693, Fax: 9005638 www.annesha-foundation.org",1991-10-23,2011-10-23,2016-10-23,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Annopurna Janakallayan Sangstha,2839,"Seroil Railway Market, Block-B, Room-60, Goramara, Boalia, Rajshahi. Phone: 811399",2013-11-25,,2018-11-25,Rajshahi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Antar Society for Development,1740,"House-14(1st Fl.), Road-12, Block-Kha, Pisciculture Housing society, Shekhertek, Adabor, Mohammadpur, Dhaka-1207 Phone: 9144502, Fax: 9144502",2002-09-19,2017-09-19,2027-09-19,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Antor Artho Samajik Unnaon Sangstha,3269,"wBhwawn.garnat aBrasdza.orr, gPabna",2021-03-14,,2031-03-14,Pabna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Anukul Foundation,2972,"Plot-61, Road-03, Block-Ka, Piciculture Housing Society, Shyamoly, Mohammadpur, Dhaka-1207 Phone: 01727-211905",2015-09-28,2020-09-28,2030-09-28,Rajbari,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Anuvab,1473,"Thana Para Road, Boda, Panchagar Phone: 05653-56180, 01712-676857",2000-01-20,2015-01-20,2025-01-20,Panchagar,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Aparajeyo Bangladesh,0908,"Sornali Garden-Probal, 14/3/A, Baishteki (Opposite BRTA Maingate), Mirpur-13, Dhaka-1216 Phone: 9021261-63, Fax: 9029556 www.aparajeyo.org",1995-02-21,2020-02-21,2030-02-21,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Apex,1645,"House-83, Road-23, Gulshan-1, Dhaka. Phone: 01713-046662, 9862109",2001-06-07,2016-06-07,2021-06-07,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Apex Foundation,2884,"Upazilla Road (Amtola More), Upazilla: Fakirhat, Dist: Bagerhat Phone: 01717965345 emial: apexbiplob@gmail.com www.info@apexfoundationbd.com",2014-08-21,2019-08-21,2029-08-20,Bagerhat,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Apon Ghar Foundation,3553,"17/14,HajiChinuMiaRoad,Block-F, (Tikkapara), Mohammadpur, Dhaka-1207 Phone: 01735645973 email: aponghar2020@gmail.com",2026-01-01,,2035-12-31,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
ARA,3131,"Rasulpur, Sadar, Satkhira",2018-01-07,,2028-01-07,Sathkhira,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Arafah Shakti Foundation,2795,"32/8 Ka(3rd Fl.), Block-C, Tajmahal Road, Mohammadpur, Dhaka-1207 Phone: 9123412, 9104581, Fax: 02-9136697",2013-06-19,,2018-06-19,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
ARAM Foundation,1606,"Pw.wOw:R.aasjfb.caotim, T.bhdana: Kotwali, Dist: Dinajpur",2001-01-03,,2006-01-03,Dinajpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Arannayk Foundation,3403,"Wasi Tower, 572/K Matikata, Ecb Chattar, Dhaka Phone: 01711194838 email: info@arannayk.org",2024-04-24,,2034-04-23,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Area Develoment Organization (ADO),1871,"Katakhali Bazar Keshabpur, Jessore. Phone:01927-367329",2003-09-13,2013-09-13,2018-09-13,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Arfan Family's Smiling Baby Foundation,3552,"Darirampur,,BaliparaRoad,Trishal-2220, Mymensingh Phone: 01708169667 email: afsbf@yahoo.com",2025-12-28,,2035-12-27,Mymensingh,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
ARK Foundation,2837,"132/A, Niketon, Road-3, Gulshan, Dhaka Phone: 9871585",2013-11-25,2018-11-25,2028-11-25,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Arnout Education and Growth Foundation,2536,"152/A (2nd Floor), Benapole Road, Railgate, Chanchra, Jessore Phone: 01713-409465",2010-02-01,2020-02-01,2030-01-31,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Arpon Dorpon Memorial Foundation,3285,"Flat-5A, House-12, Road-2, Mohammodia Housing Ltd., Dhaka. Phone: 02-2222240232 email: arpondorpon2016@gmail.com",2022-01-06,,2032-01-06,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Arr-Rayed Foundation,3427,"1 Ward, Chakaria Pourashava, Coxsbazar Phone: 01819-363450 mail: acs756201@gmail.com",2024-10-29,,2034-10-28,Cox'sBazar,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
ARS Bangladesh,2426,"House-230, Kismot Noapara, Uposhohor, Jessore Phone: +8802477760330, +8802478850307 email: info@arsbd.org",2009-04-07,2019-04-07,2029-04-07,Dhaka,Bangladesh,Name Change,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Arshi Nagar Sebamulak Unnayan Sangstha,2501,"LGED Road, Lalmonirhat Sadar, Lalmonirhat-5500 Phone: 01737-908442",2009-10-25,2019-10-25,2029-10-25,Lalmonirhat,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Arter Asha,0643,"Senpara, Rangpur Phone : 62269",1992-08-05,2002-08-05,2007-08-05,Rangpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
ASA,0120,"23/3, Block # B, Khilji Road, Mohammadpur, Dhaka Phone :81109345, Fax: 9121861 www.asa.org.bd",1982-01-14,2020-05-14,2030-05-14,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
ASD-Bangladesh (Association for Sustainable Development in Bangladesh),2131,"House-125(R), Tanteepara, Dist: Magura-7600 Phone: 01715-351758, Fax: 048863329",2006-08-24,2011-08-24,2016-08-24,Magura,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
ASDDW (Association for Social Development & Distressed Welfare),2551,"Vill: Chalna bazar, P.O.: Chalna Bazar, Upazila: Dacope, Dist.: Khulna-9270 Phone: 01721-760833",2010-03-15,2020-03-15,2030-03-15,Khulna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ased Habigonj (Association for Socio Economic Development),2895,"50 Antarango, New Muslim Quarter, Habiganj Phone: 01915-469393",2014-09-30,2019-09-30,2029-09-30,Habiganj,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Asha Samaj Kallayan Sangstha,3357,"SobhanKunjoEastValley,Flat-1/A, House-10/I/1,Mirbag,Mobhbazar, Dhaka Phone: 01760314836",2023-06-04,,2033-06-03,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ashaarprodip Somaj Unnan Sangstha (ASUS),3318,"Khajuria, Banishanta, Dacope, Khulna. Phone: 01976559807",2022-09-18,,2032-09-17,Khulna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ashar Alo,2135,"Parulia, Upazilla: Debhatta, Dist.: Satkhira Phone: 01972789149",2006-09-21,2021-09-21,2031-09-21,Sathkhira,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ashar Alo Kollyan Songstha,3071,"Vill+PO: Chapreshir Hat, Thanak: Kabirhat, Noakhali",2017-01-03,2022-01-03,2032-01-02,Noakhali,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ashar Alo Society,2181,"House-13, Road-06, Block-Kha, Shakertek, Adabor, Mohammadpur, dhaka-1207 Phone: 01711-396888",2006-12-28,2021-12-28,2031-12-27,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ashar Alo Somaj Kollan Songstha (ASKS),3326,"Nemaidighi, Chhatiangrame, Adamdighi, Bogra Phone: 01774376224 Email: asharalo2002@gmail.com",2022-10-02,,2032-10-09,Bogra,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
ASHIKA Development Associates.,2129,"Khambhe House (1st Floor), K. K. Roy Road, Dist: Rangamati Hill District-4500. Phone: 0351-62676",2006-08-24,2026-08-23,2036-08-23,Rangamati,Bangladesh,Name change 16.05.2018,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ashirbad,1540,"401/11, New Eskaton Road, Moghbazar, Dhaka Phone : 9348356",2000-06-25,2020-06-25,2030-06-25,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Asho Jati Gori,1755,"Housing State, Goalchamot, Faridpur. Phone: 0631-62212 www.eshojatigor.com",2002-11-02,2017-11-02,2027-11-02,Faridpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Asho Samaj Gori (ASG),0568,"South Kurigram, Ratanganj, Narail-7501 Phone: 0481-62917",1991-12-03,2016-12-02,2026-12-02,Narail,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ashokta Punarbashan Sangstha,2571,"Kasiadanga More (Opposite site of Sonali Bank), Rajshahi Court, Rajshahi Phone: 0721-810745",2010-05-16,2020-05-16,2030-05-15,Rajshahi,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ashokti Punarbashan Nibash (APON),1333,"Apongaon, Jailla, Singair, Manikganj Phone: 8152020 www.aponbd.org",1999-01-11,2014-01-11,2024-01-11,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ashraf Foundation,1192,"Chowgacha Bazar, Chowgacha, Jessore Phone : 04224-56645, Fax: 04224-56645",1997-10-05,2017-10-05,2027-10-05,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
ASHRAI,0555,"House-180, Sector-03, Road-04, Upashahar, Rajshahi-6202 Phone: 01777-785775",1991-11-12,2021-11-12,2031-11-11,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ashroy Angon Society (AAS),1348,"North Kalindipur (Opposite of Rani Doyamoyee High School), Residence of Mr.Kushal Dewan (1st Floor), Rangamati Hill District. Phone: 0351-62716",1999-02-14,2019-02-14,2029-02-14,Rangamati,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ashroy Foundation,2313,"16 (14 Old), Ahsan Ahmed Road, Khulna-9100. Phone: 041-812113, Fax: 041-812113 www.ashroyfoundation.org",2008-03-03,2018-03-03,2028-03-03,Khulna,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ashroy Mohila Samity,1876,"Naldanga Road, Post- Naldanga, P.S. Kaliganj, Dist. Jhenidha. Phone: 01715-671028",2003-10-06,2018-10-06,2028-10-06,Jhenaidah,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Ashtha Social Development Organisation,1723,"Apart-D-1, Agrani Al Monwara Apartment, 129, Boro Moghbazar, Dhaka Phone: 01715-269722, 8101506",2002-06-29,2017-06-29,2027-06-28,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Asia Arsenic Network Bangladesh,3419,"Arsenic Center, Krishnobati,Pulerhat,Jessore, Benapole Road, Jessore Phone: 01552465730 email:",2024-08-28,,2034-08-27,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Asmat Ali khan Foundation,3304,"8/4TopkhanaRoad,Segunbagicha, Dhaka Phone: 01611638198 email: akfoundation2006@gmail.com",2022-07-06,,2032-07-05,Dhaka,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Aso Gori Sonar Bangla,1804,"Housing Gate, P.O:Hanail, Joypurhat Phone: 0571-63207",2003-10-03,2018-03-10,2028-03-10,Joypurhat,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Aso Somaj Gori Mohila Unnayan Sangstha (ASGMUS),3243,"Komirdha, Malmara, Islampur, District: Jamalpur, Mob: 01759758124, 01843177753",2020-09-29,,2030-09-29,Jamalpur,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Aspada Paribesh Unnayan Foundation,2394,"Shapna Kutir, G/23, Bhaluka Pourashaba, Bhaluka, Mymensingh.",2008-11-19,2018-11-19,2028-11-19,Mymensingh,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
Asrayyan Sheba Sangstha (ASS),2099,"Jlhikorgacha Road, PO: Monirampur, UZ: Monirampur, Dist: Jessore. Phone: 04227-78318",2006-06-05,2021-06-05,2031-06-04,Jessore,Bangladesh,,Bangladesh NGO Affairs Bureau - Local NGO List (up to 19 August 2026)
